,Text,Start,End,Label
760,The Empire Strikes Back,36008,36031,WORK_OF_ART
761,2010,36049,36053,DATE
762,35mm,36055,36059,QUANTITY
763,1997,36073,36077,DATE
764,Special Editions,36078,36094,WORK_OF_ART
765,Library,36253,36260,PRODUCT
766,20th Century,36404,36416,DATE
767,Fox,36417,36420,PERSON
768,three weeks,36478,36489,DATE
769,"Prior to 1977,",36564,36578,DATE
770,Century Fox's,36584,36597,ORG
771,annual,36607,36613,DATE
772,$37 million,36627,36638,MONEY
773,1977,36649,36653,DATE
774,$79 million,36708,36719,MONEY
775,Fox,36742,36745,ORG
776,Hollywood,36897,36906,GPE
777,Hollywood,36937,36946,GPE
778,Hollywood,37106,37115,GPE
779,Star Wars,37158,37167,WORK_OF_ART
780,the 1950s,37229,37238,DATE
781,Star Wars,37266,37275,WORK_OF_ART
782,the late 1970s,37330,37344,DATE
783,the summer,37398,37408,DATE
784,Roger Ebert,37706,37717,PERSON
785,The Great Movies,37736,37752,WORK_OF_ART
786,Like The Birth of a Nation,37755,37781,WORK_OF_ART
787,Star Wars,37800,37809,WORK_OF_ART
788,first,37991,37996,ORDINAL
789,Steven Spielberg's,38113,38131,PERSON
790,the 1970s,38208,38217,DATE
791,Star Wars and Jaws,38313,38331,WORK_OF_ART
792,Hollywood,38346,38355,GPE
793,Taxi Driver,38428,38439,ORG
794,Annie Hall,38445,38455,PERSON
795,One,38635,38638,CARDINAL
796,Peter Biskind,38652,38665,PERSON
797,Lucas,38708,38713,PERSON
798,Spielberg,38718,38727,PERSON
799,the 1970s,38737,38746,DATE
800,European,38790,38798,NORP
801,New Hollywood,38803,38816,GPE
802,the pre-1960s Golden Age,38847,38871,EVENT
803,Tom Shone,38956,38965,PERSON
804,Star Wars and Jaws,38985,39003,WORK_OF_ART
805,Lucas,39005,39010,PERSON
806,Spielberg,39015,39024,PERSON
807,one,39162,39165,CARDINAL
808,one,39269,39272,CARDINAL
809,Damon Lindelof,39377,39391,PERSON
810,Dean Devlin,39393,39404,PERSON
811,Roland Emmerich,39406,39421,PERSON
812,John Lasseter,39423,39436,PERSON
813,David Fincher,39438,39451,PERSON
814,Joss Whedon,39453,39464,PERSON
815,John Singleton,39466,39480,PERSON
816,Kevin Smith,39482,39493,PERSON
817,Star Wars,39505,39514,WORK_OF_ART
818,J. J. Abrams,39525,39537,PERSON
819,Gareth Edwards,39542,39556,PERSON
820,Lucas,39558,39563,PERSON
821,Ridley Scott's,39619,39633,PERSON
822,Blade Runner,39634,39646,PERSON
823,1982,39648,39652,DATE
824,1979,39665,39669,DATE
825,James Cameron's,39672,39687,PERSON
826,1986,39696,39700,DATE
827,The Terminator,39713,39727,WORK_OF_ART
828,1984,39729,39733,DATE
829,George Miller's,39736,39751,PERSON
830,2,39760,39761,CARDINAL
831,1981,39763,39767,DATE
832,Peter Jackson's,39774,39789,PERSON
833,The Lord of the Rings,39790,39811,WORK_OF_ART
834,Christopher Nolan,39833,39850,PERSON
835,Star Wars,39857,39866,WORK_OF_ART
836,2010,39899,39903,DATE
837,Inception,39921,39930,EVENT
838,Star Wars galaxy,40047,40063,WORK_OF_ART
839,recent years,40068,40080,DATE
840,2002,40149,40153,DATE
841,Lucasfilm,40155,40164,ORG
842,first,40179,40184,ORDINAL
843,Official Star Wars Fan Film Awards,40192,40226,ORG
844,Star Wars,40466,40475,WORK_OF_ART
845,2007,40520,40524,DATE
846,Lucasfilm,40526,40535,ORG
847,Lucasfilm,40607,40616,ORG
848,Western Australia,40920,40937,ORG
849,second,41158,41164,ORDINAL
850,New Zealand,41290,41301,GPE
851,US,41310,41312,GPE
852,Decker,41525,41531,PERSON
853,Kevin S.,41533,41541,PERSON
854,2005,41543,41547,DATE
855,ISBN 978-0-8126-9583-0,41588,41610,ORG
856,"Campbell, Joseph",41612,41628,ORG
857,1991,41630,41634,DATE
858,The Power of Myth.,41637,41655,LAW
859,Mary,41699,41703,PERSON
860,1997,41705,41709,DATE
861,ISBN,41750,41754,ORG
862,Jeanne,41784,41790,PERSON
863,1999,41792,41796,DATE
864,The Science of Star Wars,41799,41823,WORK_OF_ART
865,St. Martin's Press,41825,41843,FAC
866,Nancy R. Reagin,41869,41884,PERSON
867,Janice Liedl,41886,41898,PERSON
868,2012,41905,41909,DATE
869,John Wiley & Sons,41935,41952,ORG
870,National Geographic & Boston Museum of Science,42022,42068,ORG
871,October 2005,42070,42082,DATE
872,ISBN 978-0-7922,42084,42099,ORG
873,Star Wars on Wookieepedia,42148,42173,WORK_OF_ART
874,Star Wars wiki,42177,42191,WORK_OF_ART
875,HiRez,42223,42228,ORG
