,Text,Start,End,Label
246,Falcon,11731,11737,ORG
247,Last Jedi,11746,11755,WORK_OF_ART
248,Rey,11757,11760,PERSON
249,Falcon,11770,11776,ORG
250,Supreme,11799,11806,ORG
251,Snoke,11814,11819,PERSON
252,Rian Johnson,11837,11849,PERSON
253,C.S. Lewis',11916,11927,PERSON
254,Solo:,12014,12019,WORK_OF_ART
255,Lando,12059,12064,PERSON
256,Han,12149,12152,NORP
257,the Millennium Falcon,12244,12265,FAC
258,the Kessel Run,12291,12305,FAC
259,less than twelve parsecs,12309,12333,MONEY
260,Imperial,12347,12355,ORG
261,Corellian,12431,12440,NORP
262,five,12472,12476,CARDINAL
263,Solo,12632,12636,PERSON
264,Falcon,12652,12658,ORG
265,the Kessel Run,12665,12679,ORG
266,less than twelve parsecs,12683,12707,MONEY
267,fourth,12807,12813,ORDINAL
268,Kenobi,12835,12841,PERSON
269,Solo,12853,12857,ORG
270,Lucas,12921,12926,PERSON
271,1977,12956,12960,DATE
272,Han,12974,12977,NORP
273,Lucas,13110,13115,PERSON
274,Star Wars,13146,13155,WORK_OF_ART
275,The Force Awakens,13467,13484,WORK_OF_ART
276,Rey,13486,13489,PERSON
277,the Kessel Run,13501,13515,ORG
278,fourteen parsecs,13555,13571,QUANTITY
279,Solo,13585,13589,PERSON
280,Solo:,13607,13612,WORK_OF_ART
281,twelve parsec,13707,13720,QUANTITY
282,Lando,13834,13839,PERSON
283,L3,13850,13852,PRODUCT
284,Solo,13887,13891,PERSON
285,Chewbacca,13967,13976,PERSON
286,13 parsecs,14019,14029,QUANTITY
287,twelve parsecs,14112,14126,QUANTITY
288,Falcon,14177,14183,ORG
289,Falcon,14314,14320,ORG
290,Lando Calrissian,14346,14362,PERSON
291,Han Solo,14378,14386,WORK_OF_ART
292,Solo:,14439,14444,WORK_OF_ART
293,Lando,14494,14499,PERSON
294,L3-37,14508,14513,PRODUCT
295,"The Empire Strikes Back, Leia, Chewbacca",14560,14600,WORK_OF_ART
296,Lando,14605,14610,PERSON
297,Falcon,14634,14640,ORG
298,Solo,14647,14651,ORG
299,Empire,14698,14704,GPE
300,Boba Fett,14709,14718,PERSON
301,Tatooine,14759,14767,FAC
302,the Millennium Falcon,14775,14796,WORK_OF_ART
303,Rebel,14839,14844,ORG
304,Falcon,14864,14870,ORG
305,Calrissian,14874,14884,ORG
306,the Battle of Endor,14907,14926,EVENT
307,second,14954,14960,ORDINAL
308,Death Star,14961,14971,ORG
309,"Return of the Jedi, the Falcon",14993,15023,WORK_OF_ART
310,Solo,15039,15043,WORK_OF_ART
311,Jakku,15069,15074,PERSON
312,Unkar Plutt,15114,15125,ORG
313,30 years,15127,15135,DATE
314,the Battle of Endor,15142,15161,EVENT
315,The Force Awakens,15166,15183,WORK_OF_ART
316,Rey,15185,15188,PERSON
317,Finn,15193,15197,PERSON
318,Solo and Chewbacca,15260,15278,ORG
319,"Solo, Rey",15333,15342,ORG
320,Falcon,15354,15360,ORG
321,Chewbacca,15367,15376,PERSON
322,Chewbacca,15444,15453,PERSON
323,Falcon,15491,15497,ORG
324,Rey,15501,15504,PERSON
325,The Last Jedi,15526,15539,WORK_OF_ART
326,Skywalker the Falcon,15658,15678,ORG
327,Lando Calrissian,15699,15715,PERSON
328,Chewbacca,15721,15730,PERSON
329,Joss Whedon,15759,15770,PERSON
330,the Millennium Falcon,15779,15800,ORG
331,one,15804,15807,CARDINAL
332,two,15815,15818,CARDINAL
333,Firefly,15848,15855,PRODUCT
334,Falcon,15877,15883,ORG
335,Falcon,15892,15898,ORG
336,Star Trek:,15926,15936,WORK_OF_ART
337,Blade Runner,15952,15964,PERSON
338,Spaceballs,15966,15976,PERSON
339,Starship Troopers,15982,15999,PRODUCT
340,Berserk,16018,16025,ORG
341,Millennium Falcon,16037,16054,FAC
342,SpaceX,16059,16065,ORG
343,Starship,16108,16116,PRODUCT
344,the Millennium Falcon,16134,16155,ORG
345,Cambrian,16186,16194,NORP
346,Cambroraster,16205,16217,PERSON
347,"the Millennium Falcon 


",16242,16267,WORK_OF_ART
348,Hasbro,16289,16295,ORG
349,Micro Machines,16349,16363,ORG
350,Millennium Falcon,16382,16399,ORG
351,Transformers,16430,16442,ORG
352,Hot Wheels,16464,16474,ORG
353,Hot Wheels,16594,16604,ORG
354,Lego,16613,16617,ORG
355,the Millennium Falcon,16652,16673,ORG
356,"the Star Wars ""Ultimate Collectors Series",16728,16769,LAW
357,Lego,16799,16803,ORG
358,2008,16852,16856,DATE
359,the Lego Taj Mahal,16860,16878,ORG
360,September 2017,16883,16897,DATE
361,Lego,16899,16903,ORG
362,Millennium Falcon,16924,16941,FAC
363,"the Star Wars ""Ultimate Collectors Series",16949,16990,ORG
364,2007,17049,17053,DATE
365,Lego,17128,17132,ORG
366,Lego,17138,17142,ORG
367,Falcon,17174,17180,ORG
368,the Kessel Run Millennium Falcon,17235,17267,ORG
369,"May 31, 2019",17304,17316,DATE
370,Falcon,17346,17352,ORG
371,Star Wars: Galaxy's Edge,17401,17425,WORK_OF_ART
372,the Disneyland Resort,17429,17450,FAC
373,Anaheim,17454,17461,GPE
374,California,17463,17473,GPE
375,Millennium,17518,17528,DATE
376,Falcon,17529,17535,FAC
377,Falcon,17588,17594,ORG
378,"August 29, 2019",17676,17691,DATE
