,Text,Start,End,Label
1118,2005,45435,45439,DATE
1119,Al Gore,45441,45448,PERSON
1120,Tele-Communications Inc.'s,45461,45487,ORG
1121,John C. Malone,45488,45502,PERSON
1122,Darth Vader,45511,45522,PERSON
1123,Lee Atwater,45559,45570,PERSON
1124,the Darth Vader,45610,45625,PERSON
1125,"the Republican Party""",45629,45650,ORG
1126,Native American,45652,45667,NORP
1127,Bunky Echohawk,45675,45689,PERSON
1128,George Armstrong Custer,45708,45731,PERSON
1129,Vader,45735,45740,PERSON
1130,Darth Custer,45757,45769,PERSON
1131,2015,45774,45778,DATE
1132,Vladimir Lenin,45792,45806,PERSON
1133,Odessa,45810,45816,GPE
1134,Ukraine,45818,45825,GPE
1135,one,45846,45849,CARDINAL
1136,Vader,45853,45858,PERSON
1137,2006,45894,45898,DATE
1138,US,45936,45938,GPE
1139,Dick Cheney,45954,45965,PERSON
1140,the Darth Vader,46045,46060,PERSON
1141,January 2007,46089,46101,DATE
1142,Jon Stewart,46103,46114,PERSON
1143,Vader,46124,46129,PERSON
1144,Cheney,46148,46154,PERSON
1145,The Daily Show,46180,46194,WORK_OF_ART
1146,Cheney,46196,46202,PERSON
1147,Lynne,46211,46216,PERSON
1148,Stewart,46228,46235,PERSON
1149,Darth Vader,46243,46254,PERSON
1150,October 2007,46276,46288,DATE
1151,Stewart,46318,46325,PERSON
1152,Stephen Colbert,46330,46345,PERSON
1153,Cheney,46376,46382,PERSON
1154,Darth Cheney,46387,46399,PERSON
1155,Lil,46432,46435,PERSON
1156,Bush,46437,46441,PERSON
1157,Cheney,46443,46449,PERSON
1158,Vader,46475,46480,PERSON
1159,September 2007,46518,46532,DATE
1160,Hillary Clinton,46534,46549,PERSON
1161,Cheney,46567,46573,PERSON
1162,Vader,46577,46582,PERSON
1163,2008,46591,46595,DATE
1164,Washington Radio,46596,46612,ORG
1165,Television Correspondents' Association Dinner,46617,46662,ORG
1166,Cheney,46664,46670,PERSON
1167,Vader,46709,46714,PERSON
1168,2009,46746,46750,DATE
1169,George Lucas,46752,46764,PERSON
1170,Cheney,46777,46783,PERSON
1171,Palpatine,46800,46809,PERSON
1172,Vader,46842,46847,PERSON
1173,George W. Bush,46857,46871,PERSON
1174,Newsweek,46885,46893,ORG
1175,Bush,46930,46934,PERSON
1176,Cheney,46939,46945,PERSON
1177,Vader,46949,46954,PERSON
1178,Palpatine,46959,46968,PERSON
1179,Star Wars and Star Trek,47040,47063,WORK_OF_ART
1180,2010,47078,47082,DATE
1181,IGN,47084,47087,ORG
1182,Darth Vader 25th,47095,47111,PERSON
1183,100,47124,47127,CARDINAL
1184,Ukraine,47151,47158,GPE
1185,the Internet Party of Ukraine,47160,47189,ORG
1186,Darth Vader,47218,47229,PERSON
1187,2019,47256,47260,DATE
1188,Vader,47274,47279,PERSON
1189,The Empire Strikes Back,47292,47315,WORK_OF_ART
1190,"900,000",47330,47337,MONEY
1191,2 December 2020,47362,47377,DATE
1192,Darth Vader,47393,47404,PERSON
1193,Edward Colston,47448,47462,PERSON
1194,Bristol,47477,47484,GPE
1195,United Kingdom,47486,47500,GPE
1196,Dave Prowse,47545,47556,PERSON
1197,29 November 2020,47570,47586,DATE
1198,Darth Vader,47763,47774,PERSON
1199,the StarWars.com Databank,47778,47803,ORG
1200,Anakin Skywalker,47804,47820,PERSON
1201,"the StarWars.com Databank
",47824,47850,ORG
1202,Anakin Skywalker,47850,47866,PERSON
1203,Darth Vader,47869,47880,PERSON
1204,Wookieepedia,47884,47896,GPE
1205,Star Wars,47900,47909,WORK_OF_ART
1206,Darth Vader,47915,47926,PERSON
1207,Darth Vader,47936,47947,WORK_OF_ART
1208,Encyclopædia Britannica,47950,47973,PERSON
